ANIO_DENUNCIA,ANIO_ENTRADA,ANIO_HECHO,CAPTURA,CONDENA,DELITO,DEPARTAMENTO,ESTADO_NOTICIA,ETAPA,GRUPO_DELITO,GRUPO_EDAD_VICTIMA,HECHO,HOMICIDIO_DOLOSO_CONSUMADO,IMPUTACION,LEY,MUNICIPIO,HABITANTES,PREDOMINANCIA,PAIS_NACIMIENTO,SEXO_VICTIMA,TOTAL_VICTIMAS
2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,FEMINICIDIO,ADOLESCENTE 14 - 17,SI,NO,NO,Ley 906,CARTAGENA,1057767,URBANO,Colombia,FEMENINO,1
2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,ACTIVO,INDAGACIÓN,FEMINICIDIO,JUVENTUD 18 - 28,SI,NO,NO,Ley 906,POPAYÁN,288636,RURAL,Colombia,FEMENINO,1
2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Córdoba,ACTIVO,INVESTIGACIÓN,FEMINICIDIO,SIN DATO,SI,NO,SI,Ley 906,MONTERÍA,471867,URBANO,Colombia,FEMENINO,1
2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,ACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,NO,NO,Ley 906,SANTA MARTA,524031,URBANO,Colombia,FEMENINO,1
2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,ACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,SI,NO,Ley 906,SANTA MARTA,524031,RURAL,Colombia,FEMENINO,1
2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Quindío,ACTIVO,JUICIO,FEMINICIDIO,ADOLESCENTE 14 - 17,SI,NO,SI,Ley 906,MONTENEGRO,41996,RURAL,Colombia,FEMENINO,1
2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,FEMINICIDIO,ADULTEZ 29 - 59,SI,NO,NO,Ley 906,CALI,2496346,URBANO,Colombia,FEMENINO,2
2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,FEMINICIDIO,ADULTEZ 29 - 59,SI,SI,NO,Ley 906,CALI,2496346,URBANO,Colombia,FEMENINO,1
2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,FEMINICIDIO,JUVENTUD 18 - 28,SI,SI,NO,Ley 906,CALI,2496346,URBANO,Colombia,FEMENINO,1
2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,SI,NO,Ley 906,CALI,2496346,URBANO,Colombia,FEMENINO,1
2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,SI,NO,Ley 906,CALI,2496346,URBANO,Colombia,MASCULINO,2
2015,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Antioquia,INACTIVO,EJECUCIÓN DE PENAS,FEMINICIDIO,JUVENTUD 18 - 28,SI,SI,SI,Ley 906,SAN FRANCISCO,4825,URBANO,Colombia,FEMENINO,1
2015,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Casanare,INACTIVO,EJECUCIÓN DE PENAS,FEMINICIDIO,JUVENTUD 18 - 28,SI,NO,SI,Ley 906,TAURAMENA,25450,URBANO,Colombia,FEMENINO,1
2015,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Cundinamarca,ACTIVO,EJECUCIÓN DE PENAS,FEMINICIDIO,SIN DATO,SI,NO,SI,Ley 906,ANAPOIMA,14331,URBANO,Colombia,FEMENINO,1
2015,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Cundinamarca,ACTIVO,EJECUCIÓN DE PENAS,FEMINICIDIO,SIN DATO,SI,NO,SI,Ley 906,ANAPOIMA,14331,URBANO,Colombia,MASCULINO,1
2015,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Meta,INACTIVO,EJECUCIÓN DE PENAS,FEMINICIDIO,ADULTEZ 29 - 59,SI,NO,SI,Ley 906,VILLAVICENCIO,538527,URBANO,Colombia,FEMENINO,1
2015,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Meta,INACTIVO,EJECUCIÓN DE PENAS,FEMINICIDIO,ADULTO MAYOR DE 60,SI,NO,SI,Ley 906,VILLAVICENCIO,538527,URBANO,Colombia,FEMENINO,1
2015,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Meta,INACTIVO,EJECUCIÓN DE PENAS,FEMINICIDIO,JUVENTUD 18 - 28,SI,NO,SI,Ley 906,VILLAVICENCIO,538527,URBANO,Colombia,FEMENINO,2
2015,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Norte de Santander,INACTIVO,EJECUCIÓN DE PENAS,FEMINICIDIO,ADULTEZ 29 - 59,SI,SI,SI,Ley 906,SANTIAGO,2901,URBANO,Colombia,FEMENINO,1
2015,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Norte de Santander,INACTIVO,EJECUCIÓN DE PENAS,FEMINICIDIO,ADULTEZ 29 - 59,SI,SI,SI,Ley 906,SANTIAGO,2901,URBANO,Colombia,MASCULINO,1
